               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13088,           0.0087358,            0.031959,                   0,                   0,                   0,                   0,             0.11565,           0.0092996,            0.031493,            0.070288,           0.0033013,           0.0033013
                   1,             0.12381,           0.0096205,            0.031019,                   0,                   0,                   0,                   0,              0.1115,           0.0097949,            0.030772,            0.040189,           0.0065351,           0.0065351
                   2,              0.1196,            0.010205,            0.030384,          3.1203e-05,           0.0028736,          1.6674e-05,          3.9501e-06,             0.10632,            0.010477,            0.030112,           0.0099894,           0.0096689,           0.0096689
                   3,             0.11174,            0.011509,            0.029934,            0.031567,            0.069887,            0.033894,           0.0087412,            0.085189,            0.012178,            0.029746,             0.00955,             0.00955,             0.00955
                   4,            0.098636,            0.011193,            0.029026,              0.2711,             0.17037,             0.11646,            0.035863,            0.073411,           0.0092876,            0.027317,             0.00955,             0.00955,             0.00955
                   5,            0.092004,           0.0099917,            0.027237,             0.10845,             0.34035,             0.13018,            0.038236,            0.073492,           0.0086576,            0.025649,              0.0094,              0.0094,              0.0094
                   6,            0.087459,           0.0094972,            0.026054,             0.17623,             0.38399,             0.23571,            0.091771,              0.0637,           0.0079122,            0.024363,             0.00925,             0.00925,             0.00925
                   7,            0.083932,           0.0093322,            0.025417,             0.21022,             0.46889,             0.30001,             0.10312,            0.060213,           0.0079349,             0.02324,              0.0091,              0.0091,              0.0091
                   8,            0.081081,           0.0089238,            0.024699,             0.30021,             0.52033,             0.39822,             0.15812,            0.057312,           0.0071584,            0.022722,             0.00895,             0.00895,             0.00895
                   9,            0.079745,           0.0088223,            0.024071,             0.42128,             0.46997,             0.45637,             0.17696,            0.054538,           0.0071428,            0.021288,              0.0088,              0.0088,              0.0088
                  10,            0.077703,            0.008642,            0.022805,             0.44288,             0.53532,             0.47446,             0.18814,            0.056527,           0.0070506,             0.01969,             0.00865,             0.00865,             0.00865
                  11,            0.075958,           0.0084629,            0.021319,             0.49146,             0.59944,             0.54621,             0.23503,            0.053399,           0.0066031,            0.018015,              0.0085,              0.0085,              0.0085
                  12,            0.074442,           0.0082479,            0.020159,             0.52975,             0.59347,             0.54937,             0.23494,            0.052501,            0.006864,            0.016631,             0.00835,             0.00835,             0.00835
                  13,             0.07362,           0.0082395,             0.01943,              0.6066,              0.6323,             0.58525,             0.23785,            0.052452,           0.0065208,             0.01548,              0.0082,              0.0082,              0.0082
                  14,            0.072898,            0.008029,             0.01823,             0.55035,             0.67613,             0.59564,             0.25665,             0.05054,           0.0064289,            0.014361,             0.00805,             0.00805,             0.00805
                  15,            0.071937,            0.008091,            0.017719,             0.59331,             0.68066,             0.64117,             0.28625,            0.049493,           0.0062131,            0.013622,              0.0079,              0.0079,              0.0079
                  16,            0.068146,           0.0078596,            0.016446,             0.61089,             0.69359,              0.6495,             0.28062,            0.049898,           0.0062734,            0.013012,             0.00775,             0.00775,             0.00775
                  17,            0.070268,           0.0078934,            0.016611,             0.71168,             0.70851,             0.71405,             0.31307,            0.048078,           0.0059084,            0.011863,              0.0076,              0.0076,              0.0076
                  18,            0.069615,           0.0078073,            0.016047,             0.69918,             0.68779,             0.70743,             0.31229,             0.04827,           0.0061436,            0.011746,             0.00745,             0.00745,             0.00745
                  19,            0.069074,           0.0079452,            0.015612,             0.75884,             0.74724,             0.75384,             0.35081,            0.045663,           0.0058542,            0.010338,              0.0073,              0.0073,              0.0073
                  20,            0.067786,           0.0076943,            0.014999,             0.78705,             0.70625,             0.75033,             0.29997,            0.050234,           0.0057846,           0.0095246,             0.00715,             0.00715,             0.00715
                  21,            0.068088,           0.0077518,            0.014637,             0.80009,             0.73727,             0.78878,             0.34858,             0.04672,           0.0057321,           0.0089219,               0.007,               0.007,               0.007
                  22,            0.066638,           0.0076605,            0.014039,             0.81989,             0.74263,             0.79317,             0.32347,            0.049476,           0.0057946,           0.0086584,             0.00685,             0.00685,             0.00685
                  23,            0.065415,           0.0075737,            0.013265,             0.86507,             0.75863,             0.81794,             0.37459,            0.045622,           0.0056304,           0.0079656,              0.0067,              0.0067,              0.0067
