               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13127,            0.008733,            0.031921,                   0,                   0,                   0,                   0,             0.11602,            0.009195,            0.031385,            0.070288,           0.0033013,           0.0033013
                   1,             0.12412,           0.0096656,            0.031143,                   0,                   0,                   0,                   0,             0.11152,           0.0098592,            0.030883,            0.040189,           0.0065351,           0.0065351
                   2,             0.11951,            0.010308,            0.030477,          3.7636e-06,          0.00066138,          1.9082e-06,          1.9082e-07,             0.10515,            0.010737,            0.030189,           0.0099894,           0.0096689,           0.0096689
                   3,             0.10999,             0.01195,            0.030057,           0.0078944,             0.57232,            0.025227,           0.0071338,            0.081966,            0.013321,            0.029957,             0.00955,             0.00955,             0.00955
                   4,            0.095316,            0.011819,            0.029466,             0.64171,             0.11528,             0.10719,            0.037094,            0.067547,            0.010107,              0.0285,             0.00955,             0.00955,             0.00955
                   5,            0.088393,            0.010008,            0.028053,             0.12383,             0.38961,             0.21882,            0.081459,             0.06231,           0.0084037,            0.026068,              0.0094,              0.0094,              0.0094
                   6,            0.083226,           0.0094072,            0.026249,              0.1968,             0.55404,             0.33661,             0.13896,            0.059132,           0.0076253,            0.023954,             0.00925,             0.00925,             0.00925
                   7,            0.079514,           0.0089308,            0.024838,             0.30216,             0.51818,             0.40319,             0.16411,            0.054511,           0.0070022,            0.022799,              0.0091,              0.0091,              0.0091
                   8,            0.076989,           0.0086156,            0.024023,             0.36285,             0.44497,             0.47206,             0.20059,            0.052932,           0.0069494,             0.02156,             0.00895,             0.00895,             0.00895
                   9,            0.075252,           0.0084939,            0.022931,             0.47281,             0.55907,             0.55566,              0.2277,            0.050682,           0.0064229,            0.019565,              0.0088,              0.0088,              0.0088
                  10,            0.073765,           0.0082105,            0.021081,             0.50418,             0.66878,             0.58905,             0.24947,            0.050877,            0.006254,            0.017176,             0.00865,             0.00865,             0.00865
                  11,             0.07308,           0.0082377,            0.019676,             0.55512,             0.71058,             0.62417,             0.28654,            0.047828,           0.0059933,            0.015727,              0.0085,              0.0085,              0.0085
                  12,            0.071597,           0.0080377,            0.018457,             0.54522,              0.7011,             0.63402,             0.26016,            0.051476,           0.0060448,            0.014476,             0.00835,             0.00835,             0.00835
                  13,            0.070321,           0.0078836,            0.017524,             0.55488,             0.68878,             0.64348,             0.26524,            0.050409,           0.0062547,            0.013696,              0.0082,              0.0082,              0.0082
                  14,            0.070247,           0.0080367,            0.017012,             0.66647,             0.74844,             0.70409,             0.31237,            0.047887,           0.0057246,            0.012608,             0.00805,             0.00805,             0.00805
                  15,            0.068174,           0.0077102,            0.016224,             0.71319,             0.73536,             0.72961,             0.32368,            0.047571,           0.0056214,             0.01137,              0.0079,              0.0079,              0.0079
                  16,            0.068732,           0.0077492,            0.015683,             0.74865,              0.7559,             0.75949,              0.3351,            0.045838,           0.0055027,            0.010654,             0.00775,             0.00775,             0.00775
                  17,            0.066479,           0.0075999,            0.014874,             0.77805,             0.77584,             0.78448,             0.35819,             0.04568,           0.0055657,           0.0098823,              0.0076,              0.0076,              0.0076
