               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1301,           0.0090588,             0.03181,                   0,                   0,                   0,                   0,             0.11456,           0.0094747,            0.031225,            0.070288,           0.0033013,           0.0033013
                   1,              0.1235,           0.0098747,            0.031063,                   0,                   0,                   0,                   0,             0.11164,           0.0098833,            0.030849,            0.040169,           0.0065152,           0.0065152
                   2,             0.12017,             0.01028,            0.030525,                   0,                   0,                   0,                   0,             0.10846,            0.010343,            0.030444,           0.0099296,           0.0096091,           0.0096091
                   3,              0.1169,            0.010901,            0.030208,          8.2131e-05,           0.0063007,          4.7844e-05,          1.1065e-05,            0.099403,            0.011658,            0.030177,             0.00946,             0.00946,             0.00946
                   4,             0.10619,            0.011829,            0.030088,            0.062496,             0.09071,            0.047719,            0.014075,            0.081818,            0.012135,            0.030249,             0.00946,             0.00946,             0.00946
                   5,            0.096341,            0.011448,            0.029681,             0.43721,             0.13051,             0.10247,             0.03517,            0.073194,            0.010061,            0.029146,             0.00928,             0.00928,             0.00928
                   6,            0.089583,            0.010514,            0.028815,             0.26218,             0.13896,            0.090589,            0.031895,            0.068029,           0.0093387,            0.027222,              0.0091,              0.0091,              0.0091
                   7,            0.085048,           0.0099603,            0.027346,             0.25421,             0.33318,             0.27277,             0.10393,            0.061005,           0.0084191,            0.025275,             0.00892,             0.00892,             0.00892
                   8,            0.082272,           0.0095713,            0.026024,             0.37848,             0.35571,             0.33825,             0.12595,            0.060881,           0.0079927,            0.022891,             0.00874,             0.00874,             0.00874
                   9,            0.080766,           0.0094046,            0.024595,             0.44246,             0.45085,             0.41832,             0.16534,            0.058628,            0.007444,            0.021334,             0.00856,             0.00856,             0.00856
                  10,            0.078646,           0.0090693,            0.022559,             0.48096,             0.53667,             0.49467,             0.20453,            0.054702,           0.0071311,            0.018996,             0.00838,             0.00838,             0.00838
                  11,            0.077081,           0.0090752,            0.021265,             0.47776,             0.57156,             0.51725,             0.21697,            0.054404,           0.0070973,            0.017515,              0.0082,              0.0082,              0.0082
                  12,            0.075544,           0.0088702,            0.020091,              0.5006,             0.62667,             0.55176,             0.22889,            0.052634,           0.0067486,            0.016302,             0.00802,             0.00802,             0.00802
                  13,            0.074408,           0.0086451,              0.0192,              0.5312,             0.64195,             0.55952,             0.22823,            0.052177,           0.0065398,            0.015625,             0.00784,             0.00784,             0.00784
                  14,            0.073366,           0.0087506,             0.01853,             0.55619,             0.72089,             0.61289,             0.26514,            0.050008,           0.0062335,            0.014413,             0.00766,             0.00766,             0.00766
                  15,            0.071574,           0.0084067,            0.017865,             0.58976,             0.70231,             0.61591,              0.2651,            0.050175,           0.0062028,            0.013917,             0.00748,             0.00748,             0.00748
                  16,            0.071693,           0.0084523,            0.017452,             0.56816,             0.72957,             0.63437,              0.2782,            0.048434,           0.0063186,            0.013288,              0.0073,              0.0073,              0.0073
                  17,            0.069659,           0.0082985,            0.016869,             0.59736,             0.69147,             0.65036,             0.28424,             0.04923,           0.0062045,            0.012964,             0.00712,             0.00712,             0.00712
                  18,            0.068253,           0.0081514,            0.016209,             0.63675,              0.6967,             0.69297,             0.30834,            0.047735,           0.0060751,            0.012161,             0.00694,             0.00694,             0.00694
                  19,            0.067043,            0.008005,            0.015815,              0.6981,             0.71946,              0.7218,             0.32313,            0.047059,           0.0060202,             0.01163,             0.00676,             0.00676,             0.00676
                  20,            0.066671,           0.0080008,            0.015465,             0.75368,             0.68557,             0.73868,             0.33896,            0.046142,           0.0060946,            0.010846,             0.00658,             0.00658,             0.00658
                  21,            0.066247,           0.0078313,             0.01462,              0.8014,             0.74166,             0.78932,              0.3616,            0.045451,           0.0057477,            0.009765,              0.0064,              0.0064,              0.0064
                  22,             0.06587,            0.007992,            0.014284,             0.84504,             0.73416,             0.81054,             0.37133,             0.04554,           0.0058634,           0.0089506,             0.00622,             0.00622,             0.00622
                  23,            0.065163,           0.0078405,            0.013559,             0.84944,             0.78227,             0.83223,              0.3837,            0.044818,            0.005622,            0.008106,             0.00604,             0.00604,             0.00604
                  24,             0.06423,           0.0076534,            0.012935,              0.8751,             0.79462,             0.85221,             0.40955,            0.043614,           0.0054704,           0.0073412,             0.00586,             0.00586,             0.00586
                  25,             0.06453,           0.0078933,            0.012561,             0.88581,             0.81306,              0.8572,             0.37516,            0.045393,           0.0055144,           0.0066637,             0.00568,             0.00568,             0.00568
                  26,            0.063238,           0.0076727,            0.011963,             0.90701,             0.81266,              0.8721,             0.41178,            0.043889,           0.0055564,           0.0064063,              0.0055,              0.0055,              0.0055
                  27,            0.061876,           0.0076654,            0.011353,             0.88998,             0.79971,             0.86349,             0.40342,            0.043833,           0.0055132,           0.0060845,             0.00532,             0.00532,             0.00532
                  28,            0.060866,            0.007538,            0.010804,             0.91193,             0.83281,             0.87986,             0.42302,            0.042872,            0.005407,           0.0053852,             0.00514,             0.00514,             0.00514
                  29,             0.06025,           0.0074161,            0.010495,             0.89563,             0.83474,             0.87878,             0.42527,            0.043049,            0.005394,           0.0052802,             0.00496,             0.00496,             0.00496
                  30,            0.060505,           0.0076266,            0.010223,             0.91629,             0.84582,             0.89517,             0.43385,            0.042398,           0.0053195,           0.0048246,             0.00478,             0.00478,             0.00478
                  31,            0.059257,           0.0074179,           0.0098035,             0.88799,             0.85325,             0.88391,             0.41817,            0.042668,           0.0053786,           0.0046627,              0.0046,              0.0046,              0.0046
                  32,            0.061984,           0.0075994,            0.010505,             0.91679,             0.83897,             0.89523,             0.43216,            0.042018,           0.0053477,           0.0044875,             0.00442,             0.00442,             0.00442
                  33,            0.060412,           0.0074887,            0.010083,             0.89634,             0.86327,              0.8918,             0.42725,            0.042203,           0.0052735,           0.0043644,             0.00424,             0.00424,             0.00424
                  34,            0.059465,           0.0073998,           0.0096402,             0.91633,             0.86445,             0.90781,             0.44184,            0.041357,           0.0052733,           0.0043156,             0.00406,             0.00406,             0.00406
                  35,             0.05883,            0.007285,           0.0094302,             0.92841,             0.86788,             0.91279,              0.4444,            0.041253,           0.0051958,           0.0039635,             0.00388,             0.00388,             0.00388
                  36,            0.058803,           0.0073249,           0.0094398,             0.92958,             0.86054,             0.91199,             0.44905,            0.041326,           0.0051848,           0.0038299,              0.0037,              0.0037,              0.0037
                  37,            0.057041,           0.0072677,           0.0088785,             0.92008,               0.874,             0.91582,             0.45184,            0.040573,            0.005082,           0.0034607,             0.00352,             0.00352,             0.00352
                  38,            0.056383,           0.0071498,           0.0086717,             0.93107,             0.88858,             0.92147,             0.46679,            0.040124,           0.0051408,            0.003487,             0.00334,             0.00334,             0.00334
                  39,            0.055839,           0.0070427,           0.0084744,             0.94034,             0.87568,             0.91929,             0.45211,            0.040704,           0.0050508,           0.0033951,             0.00316,             0.00316,             0.00316
                  40,            0.056214,           0.0072603,           0.0083611,             0.92408,              0.8821,             0.91744,             0.46305,            0.039972,            0.005132,           0.0034096,             0.00298,             0.00298,             0.00298
                  41,            0.053989,             0.00703,           0.0077519,              0.9396,             0.88048,             0.92743,             0.46519,            0.039562,           0.0049955,           0.0030809,              0.0028,              0.0028,              0.0028
