               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13032,           0.0090797,            0.031859,                   0,                   0,                   0,                   0,             0.11535,           0.0092907,            0.031315,            0.070288,           0.0033013,           0.0033013
                   1,             0.12395,           0.0097654,            0.031077,                   0,                   0,                   0,                   0,             0.11171,           0.0099208,            0.030927,            0.040169,           0.0065152,           0.0065152
                   2,             0.12002,            0.010409,            0.030611,                   0,                   0,                   0,                   0,              0.1059,            0.010932,            0.030481,           0.0099296,           0.0096091,           0.0096091
                   3,             0.11013,            0.012163,            0.030267,            0.024137,             0.35069,            0.039235,            0.011542,            0.082844,            0.013032,            0.030259,             0.00946,             0.00946,             0.00946
                   4,            0.095363,            0.011612,            0.029759,             0.06083,             0.13834,            0.068302,            0.022299,            0.069777,           0.0099438,            0.028972,             0.00946,             0.00946,             0.00946
                   5,            0.088354,            0.010327,            0.028557,            0.091981,             0.42683,             0.19456,            0.074652,            0.062875,           0.0088692,            0.026699,             0.00928,             0.00928,             0.00928
                   6,            0.082511,           0.0098008,            0.027112,             0.21766,             0.49242,             0.30325,             0.11885,            0.057538,           0.0075552,            0.025235,              0.0091,              0.0091,              0.0091
                   7,            0.078913,           0.0093522,            0.025952,             0.30896,             0.45103,              0.3864,             0.15887,            0.054578,           0.0072005,            0.024077,             0.00892,             0.00892,             0.00892
                   8,            0.076579,           0.0090321,            0.024978,              0.3441,             0.47661,             0.43579,             0.16598,             0.05563,              0.0073,             0.02224,             0.00874,             0.00874,             0.00874
                   9,            0.075226,           0.0088405,            0.023728,             0.43108,             0.52943,             0.48922,             0.20262,            0.051655,           0.0065974,            0.020814,             0.00856,             0.00856,             0.00856
                  10,            0.073707,           0.0087538,              0.0221,             0.50675,             0.62238,             0.54748,              0.2302,            0.050691,           0.0063802,            0.018949,             0.00838,             0.00838,             0.00838
                  11,            0.072119,           0.0084868,            0.020681,             0.51576,             0.63447,             0.59147,             0.23696,            0.050575,           0.0063881,             0.01713,              0.0082,              0.0082,              0.0082
                  12,            0.071329,           0.0083169,            0.019506,             0.51395,             0.65671,             0.60718,             0.26091,            0.049733,           0.0065499,             0.01614,             0.00802,             0.00802,             0.00802
                  13,            0.070685,           0.0083728,            0.018722,             0.60723,             0.72087,             0.65261,             0.28248,            0.049408,           0.0059937,            0.014701,             0.00784,             0.00784,             0.00784
                  14,            0.068929,           0.0080684,            0.017838,             0.63517,             0.72417,             0.69614,             0.32024,            0.046533,           0.0058769,            0.013415,             0.00766,             0.00766,             0.00766
                  15,            0.069056,           0.0081012,            0.017103,             0.64994,             0.71103,             0.69818,               0.283,            0.048104,           0.0058768,            0.012787,             0.00748,             0.00748,             0.00748
                  16,            0.067239,           0.0079024,            0.016201,             0.73382,             0.71078,             0.74471,             0.34061,            0.045898,           0.0058088,            0.011926,              0.0073,              0.0073,              0.0073
                  17,            0.065486,            0.007792,            0.015377,             0.77295,             0.71821,             0.77572,             0.35716,            0.045273,           0.0055522,            0.010995,             0.00712,             0.00712,             0.00712
                  18,            0.064822,            0.007676,            0.014849,             0.81388,             0.74022,             0.79931,             0.36574,            0.045318,            0.005875,            0.010444,             0.00694,             0.00694,             0.00694
                  19,            0.064232,           0.0076987,            0.014325,             0.84194,              0.7718,             0.84128,             0.39432,             0.04475,           0.0054917,           0.0089201,             0.00676,             0.00676,             0.00676
                  20,            0.064072,           0.0077226,            0.013517,             0.88243,             0.76167,              0.8447,             0.39459,            0.043866,           0.0054944,           0.0083345,             0.00658,             0.00658,             0.00658
                  21,            0.063627,           0.0075677,            0.012794,             0.90442,             0.79369,             0.86431,             0.41258,            0.043155,           0.0053397,            0.007343,              0.0064,              0.0064,              0.0064
                  22,            0.062672,           0.0074523,            0.012125,             0.89042,             0.81367,             0.87223,             0.42011,            0.043348,           0.0053307,            0.006553,             0.00622,             0.00622,             0.00622
                  23,            0.063012,           0.0076504,             0.01177,             0.91187,             0.83867,              0.8793,             0.39773,             0.04375,            0.005318,             0.00604,             0.00604,             0.00604,             0.00604
                  24,            0.061684,           0.0074011,            0.011114,             0.92254,             0.81562,             0.87978,             0.41884,            0.043269,           0.0053456,           0.0057123,             0.00586,             0.00586,             0.00586
                  25,            0.060094,           0.0073829,            0.010258,              0.9135,             0.83582,             0.88978,             0.40515,            0.044205,           0.0053664,           0.0053948,             0.00568,             0.00568,             0.00568
                  26,            0.059195,           0.0072723,           0.0098072,             0.93094,             0.83428,             0.89236,              0.4219,            0.042827,           0.0053329,           0.0051014,              0.0055,              0.0055,              0.0055
                  27,            0.058464,            0.007155,           0.0093669,             0.93145,             0.85095,              0.9014,             0.43753,            0.042218,           0.0051613,           0.0044976,             0.00532,             0.00532,             0.00532
                  28,            0.058782,           0.0073481,           0.0091253,              0.9348,             0.85605,             0.90643,             0.43601,            0.041974,           0.0052813,           0.0042463,             0.00514,             0.00514,             0.00514
                  29,            0.057522,           0.0071303,             0.00868,             0.92061,             0.86419,             0.90221,             0.42967,            0.042341,           0.0052236,           0.0042858,             0.00496,             0.00496,             0.00496
                  30,            0.060376,           0.0073547,           0.0097587,             0.92964,             0.85294,             0.89909,             0.44327,            0.041827,           0.0052873,           0.0041954,             0.00478,             0.00478,             0.00478
                  31,            0.058776,           0.0072509,            0.009257,             0.93327,             0.87448,             0.91039,             0.44732,            0.041545,           0.0051416,           0.0037649,              0.0046,              0.0046,              0.0046
                  32,             0.05779,           0.0071183,           0.0087622,             0.92892,             0.85689,             0.90676,              0.4462,            0.040806,           0.0051217,            0.003824,             0.00442,             0.00442,             0.00442
                  33,            0.056993,           0.0070503,           0.0085822,             0.94051,             0.87411,              0.9163,             0.45659,            0.040105,           0.0050933,           0.0036788,             0.00424,             0.00424,             0.00424
                  34,            0.056934,           0.0070993,           0.0086307,             0.95203,             0.87266,             0.92205,             0.46906,            0.039977,           0.0049854,           0.0033465,             0.00406,             0.00406,             0.00406
                  35,            0.055404,            0.006995,            0.007839,             0.95688,             0.88561,             0.93001,             0.45879,             0.04025,           0.0049701,           0.0032313,             0.00388,             0.00388,             0.00388
                  36,            0.052051,             0.00676,           0.0063454,             0.94036,              0.8859,             0.92641,             0.45745,            0.040436,           0.0049855,           0.0032783,              0.0037,              0.0037,              0.0037
                  37,            0.054502,           0.0068661,           0.0074764,             0.95089,             0.87208,             0.92187,             0.46825,            0.039616,           0.0049865,           0.0033454,             0.00352,             0.00352,             0.00352
                  38,            0.053787,           0.0067784,           0.0071875,             0.94817,             0.88896,             0.92099,             0.47692,             0.03942,           0.0049114,           0.0030326,             0.00334,             0.00334,             0.00334
                  39,            0.054234,           0.0069853,           0.0071904,             0.95397,             0.87931,             0.92682,             0.47396,            0.039025,           0.0049536,           0.0031735,             0.00316,             0.00316,             0.00316
                  40,            0.052815,           0.0067722,           0.0068145,             0.94753,             0.89483,             0.92855,             0.47301,            0.039323,           0.0049226,           0.0032495,             0.00298,             0.00298,             0.00298
                  41,            0.054726,           0.0069133,           0.0074318,             0.96105,             0.89462,             0.92575,             0.47796,            0.039012,            0.004927,           0.0028535,              0.0028,              0.0028,              0.0028
                  42,            0.053291,           0.0068576,           0.0070583,             0.96108,             0.88551,             0.93272,               0.473,             0.03889,           0.0048795,           0.0029024,             0.00262,             0.00262,             0.00262
                  43,            0.052514,           0.0067081,           0.0067769,             0.94827,             0.90312,             0.93426,             0.47944,            0.038314,           0.0048215,           0.0026995,             0.00244,             0.00244,             0.00244
                  44,            0.052045,           0.0066318,           0.0067384,             0.96071,             0.88496,             0.93194,             0.48943,            0.038073,            0.004877,           0.0026721,             0.00226,             0.00226,             0.00226
                  45,            0.051918,           0.0067053,           0.0067425,             0.94953,             0.90569,             0.93114,             0.49039,            0.038308,           0.0047858,           0.0027073,             0.00208,             0.00208,             0.00208
                  46,            0.055337,           0.0068053,           0.0076503,             0.94513,             0.90746,              0.9388,             0.48898,            0.038098,           0.0047841,            0.002507,              0.0019,              0.0019,              0.0019
                  47,            0.049512,           0.0065753,           0.0056646,             0.95751,             0.90737,             0.93633,             0.49353,             0.03812,           0.0047737,           0.0024235,             0.00172,             0.00172,             0.00172
                  48,            0.049933,             0.00651,            0.005803,             0.95783,             0.90874,             0.93899,             0.49681,            0.037862,           0.0047607,           0.0024752,             0.00154,             0.00154,             0.00154
                  49,            0.049542,           0.0064265,           0.0056878,             0.95888,             0.90913,             0.93947,             0.49615,            0.037866,            0.004726,           0.0024206,             0.00136,             0.00136,             0.00136
