               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12982,           0.0092103,            0.031844,                   0,                   0,                   0,                   0,              0.1149,            0.009378,            0.031349,            0.070288,           0.0033013,           0.0033013
                   1,             0.12379,           0.0098005,             0.03118,                   0,                   0,                   0,                   0,             0.11136,           0.0099958,            0.030978,            0.040169,           0.0065152,           0.0065152
                   2,             0.11964,            0.010513,            0.030701,          0.00048557,            0.049174,           0.0037653,           0.0011274,             0.10523,            0.010996,            0.030481,           0.0099296,           0.0096091,           0.0096091
                   3,             0.10855,            0.012277,            0.030296,              0.4107,            0.089372,            0.072155,            0.022715,            0.080689,            0.012734,            0.030448,             0.00946,             0.00946,             0.00946
                   4,            0.094748,            0.012091,             0.02963,             0.15135,             0.18664,             0.15615,            0.053446,            0.068486,             0.01084,            0.028606,             0.00946,             0.00946,             0.00946
                   5,            0.088576,            0.010628,            0.028397,             0.11901,             0.17968,            0.076204,            0.026197,            0.066543,            0.010817,            0.026738,             0.00928,             0.00928,             0.00928
                   6,            0.082853,           0.0099601,            0.026924,             0.24063,             0.45525,             0.32143,             0.12406,            0.059002,            0.007683,            0.024947,              0.0091,              0.0091,              0.0091
                   7,            0.079584,           0.0095955,            0.025605,             0.25439,             0.49041,             0.37127,             0.15159,            0.055264,           0.0073231,            0.023351,             0.00892,             0.00892,             0.00892
                   8,            0.077436,           0.0092071,            0.024281,             0.28956,             0.54406,             0.44634,             0.18738,            0.052262,           0.0069539,            0.021884,             0.00874,             0.00874,             0.00874
                   9,            0.075107,           0.0089252,            0.023073,             0.40519,             0.56677,             0.51548,             0.21589,            0.051837,           0.0066832,            0.020158,             0.00856,             0.00856,             0.00856
                  10,            0.072262,           0.0087401,            0.021537,             0.50751,             0.63209,             0.58208,             0.25176,            0.049547,           0.0064412,            0.018246,             0.00838,             0.00838,             0.00838
                  11,            0.070866,           0.0085063,            0.020104,             0.48132,             0.65158,             0.59751,              0.2562,            0.049485,           0.0063834,            0.016698,              0.0082,              0.0082,              0.0082
                  12,            0.069259,           0.0083033,             0.01887,             0.55646,              0.7038,             0.62531,             0.27358,            0.048789,           0.0060932,            0.015307,             0.00802,             0.00802,             0.00802
                  13,            0.070999,           0.0085244,            0.018274,             0.63667,             0.71246,             0.66529,               0.296,            0.049656,           0.0060302,            0.013919,             0.00784,             0.00784,             0.00784
                  14,            0.069266,            0.008167,            0.017374,             0.66157,             0.71787,             0.70036,             0.29383,            0.048847,           0.0058754,            0.012632,             0.00766,             0.00766,             0.00766
                  15,            0.069478,           0.0081921,             0.01662,             0.73547,             0.71333,             0.71986,             0.31445,            0.048119,           0.0059011,            0.012116,             0.00748,             0.00748,             0.00748
                  16,            0.067583,           0.0080396,            0.015763,             0.74428,             0.74766,             0.73572,             0.33716,            0.046337,            0.005829,            0.011263,              0.0073,              0.0073,              0.0073
                  17,             0.06664,           0.0079532,            0.015028,             0.74898,             0.74122,             0.76034,             0.35318,            0.045287,           0.0056276,            0.010097,             0.00712,             0.00712,             0.00712
                  18,            0.065878,           0.0077684,            0.014256,             0.79767,             0.76537,             0.79527,             0.36721,            0.045204,           0.0056341,           0.0093724,             0.00694,             0.00694,             0.00694
                  19,            0.065537,           0.0077677,            0.013873,             0.87278,             0.77932,             0.83472,             0.36662,            0.046442,           0.0054747,           0.0082436,             0.00676,             0.00676,             0.00676
                  20,            0.063971,           0.0077345,            0.012967,             0.87527,             0.78536,             0.85298,             0.38842,            0.044071,            0.005354,           0.0081239,             0.00658,             0.00658,             0.00658
                  21,            0.063412,           0.0075662,            0.012237,              0.9073,             0.80575,             0.86417,             0.40055,            0.043901,           0.0053493,           0.0071131,              0.0064,              0.0064,              0.0064
                  22,            0.062412,             0.00743,            0.011749,              0.9272,              0.8161,             0.88859,             0.42367,            0.043646,           0.0053214,           0.0064551,             0.00622,             0.00622,             0.00622
                  23,            0.060508,           0.0074251,            0.010556,             0.92381,             0.83184,              0.8908,             0.41514,            0.043741,           0.0053438,             0.00594,             0.00604,             0.00604,             0.00604
                  24,            0.059306,           0.0073257,           0.0098782,             0.92886,             0.83557,             0.88456,               0.432,            0.043031,           0.0053025,           0.0056036,             0.00586,             0.00586,             0.00586
                  25,             0.05876,           0.0071959,           0.0093409,             0.92441,             0.84051,             0.88936,             0.43733,            0.042477,           0.0052666,           0.0052845,             0.00568,             0.00568,             0.00568
                  26,            0.062092,           0.0076092,            0.010452,             0.92993,              0.8453,             0.89458,             0.43417,            0.042924,           0.0052976,           0.0050195,              0.0055,              0.0055,              0.0055
                  27,            0.060852,           0.0073926,            0.009972,             0.92375,             0.86712,             0.90478,             0.42034,            0.043168,           0.0052885,           0.0042219,             0.00532,             0.00532,             0.00532
                  28,            0.061249,           0.0074564,           0.0098689,             0.94199,             0.87212,             0.90928,             0.43924,            0.042614,           0.0051312,           0.0040968,             0.00514,             0.00514,             0.00514
                  29,            0.059528,           0.0073136,           0.0094147,             0.93464,             0.86337,             0.91263,             0.44589,            0.041546,           0.0051809,           0.0039817,             0.00496,             0.00496,             0.00496
                  30,            0.058698,           0.0072202,           0.0088272,             0.94535,             0.85875,             0.91409,             0.46115,            0.040368,           0.0050681,           0.0040478,             0.00478,             0.00478,             0.00478
                  31,            0.058262,           0.0071406,           0.0086753,             0.94668,             0.87473,             0.91804,             0.46034,            0.040845,           0.0050994,           0.0038576,              0.0046,              0.0046,              0.0046
                  32,            0.058186,           0.0071997,           0.0087005,              0.9538,             0.87192,             0.91711,             0.45674,            0.040891,           0.0050446,           0.0033779,             0.00442,             0.00442,             0.00442
                  33,             0.05609,           0.0070841,           0.0077879,             0.94602,             0.86944,             0.92334,             0.46305,            0.040404,             0.00495,           0.0034564,             0.00424,             0.00424,             0.00424
                  34,            0.055373,           0.0069987,           0.0076302,             0.93975,             0.89563,             0.92813,             0.48306,            0.039369,           0.0049838,           0.0033178,             0.00406,             0.00406,             0.00406
                  35,            0.054539,           0.0068566,           0.0072459,             0.94307,             0.88657,             0.92609,             0.47141,              0.0398,           0.0049334,           0.0032439,             0.00388,             0.00388,             0.00388
                  36,             0.05644,           0.0071822,           0.0078062,             0.93833,             0.89817,             0.92712,             0.48271,            0.039369,           0.0049544,           0.0029573,              0.0037,              0.0037,              0.0037
                  37,            0.055363,           0.0069467,           0.0075113,             0.94855,             0.88952,             0.92395,             0.47017,            0.039362,           0.0049268,           0.0032935,             0.00352,             0.00352,             0.00352
                  38,            0.053044,             0.00686,           0.0066211,             0.95997,             0.88729,             0.93031,             0.47675,            0.039241,           0.0048881,           0.0031052,             0.00334,             0.00334,             0.00334
                  39,            0.051953,           0.0067373,           0.0063279,             0.95767,             0.90457,             0.93318,             0.49543,            0.038444,           0.0048695,           0.0028946,             0.00316,             0.00316,             0.00316
                  40,            0.051119,            0.006631,           0.0059685,             0.95491,             0.89382,             0.93033,             0.48029,             0.03906,           0.0048582,           0.0032085,             0.00298,             0.00298,             0.00298
                  41,            0.052831,           0.0069135,           0.0063435,             0.95395,             0.89913,              0.9307,              0.4891,            0.038665,           0.0048815,           0.0028634,              0.0028,              0.0028,              0.0028
                  42,            0.051738,           0.0067148,           0.0060983,             0.94826,              0.8926,             0.92955,             0.48249,            0.038617,            0.004835,           0.0031866,             0.00262,             0.00262,             0.00262
                  43,            0.055033,           0.0069261,           0.0073401,             0.95923,             0.91316,             0.93863,             0.49806,             0.03787,           0.0047627,           0.0025566,             0.00244,             0.00244,             0.00244
                  44,            0.053161,           0.0068369,           0.0069115,             0.95753,             0.90102,             0.93544,             0.48273,            0.038495,           0.0047779,           0.0027583,             0.00226,             0.00226,             0.00226
                  45,            0.052718,           0.0067057,           0.0065369,             0.94846,             0.90228,             0.93682,             0.49984,            0.037715,           0.0047337,           0.0026563,             0.00208,             0.00208,             0.00208
                  46,            0.052375,           0.0066389,           0.0065553,             0.95323,             0.90289,             0.93187,             0.50847,            0.037582,           0.0047584,           0.0028303,              0.0019,              0.0019,              0.0019
                  47,            0.052317,           0.0067389,           0.0065864,             0.95361,              0.9027,             0.93222,             0.49842,            0.037787,           0.0047343,           0.0028897,             0.00172,             0.00172,             0.00172
                  48,            0.049261,           0.0065503,           0.0053955,             0.95367,             0.91209,             0.93834,              0.5034,            0.037492,            0.004729,           0.0025545,             0.00154,             0.00154,             0.00154
                  49,            0.048312,           0.0064392,           0.0051213,             0.96686,             0.90361,             0.93715,              0.5083,            0.037124,           0.0047075,            0.002661,             0.00136,             0.00136,             0.00136
