               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13088,           0.0088324,            0.031877,          1.3043e-05,          0.00047893,          6.5417e-06,          6.5417e-07,             0.11571,            0.009248,            0.031333,            0.070288,           0.0033013,           0.0033013
                   1,             0.12418,           0.0096606,            0.031108,                   0,                   0,                   0,                   0,             0.11151,           0.0099898,            0.030904,            0.040229,           0.0065749,           0.0065749
                   2,             0.11996,            0.010344,            0.030554,                   0,                   0,                   0,                   0,             0.10711,            0.010638,            0.030356,            0.010109,           0.0097885,           0.0097885
                   3,             0.11266,            0.011774,            0.030139,           0.0058085,             0.42995,            0.017643,            0.005052,            0.085781,            0.013494,            0.030199,             0.00973,             0.00973,             0.00973
                   4,            0.096411,            0.012501,            0.029674,             0.28853,             0.18318,             0.12483,            0.043401,            0.069911,            0.011036,            0.029123,             0.00973,             0.00973,             0.00973
                   5,            0.088979,            0.010576,            0.028463,            0.092239,             0.23801,            0.091525,            0.028426,            0.066644,            0.010578,            0.026773,             0.00964,             0.00964,             0.00964
                   6,            0.083115,           0.0097065,            0.026703,             0.18962,             0.52857,             0.31405,             0.13047,            0.057184,           0.0076612,            0.024368,             0.00955,             0.00955,             0.00955
                   7,            0.079176,            0.009178,            0.025206,             0.23154,             0.57789,             0.37849,             0.13943,            0.054889,           0.0069373,            0.023178,             0.00946,             0.00946,             0.00946
                   8,            0.076708,           0.0088814,            0.024432,             0.24672,             0.52371,              0.4267,               0.186,            0.053247,           0.0068935,            0.021935,             0.00937,             0.00937,             0.00937
                   9,            0.075277,           0.0086874,            0.023411,             0.43598,             0.54618,             0.52795,             0.21181,            0.051842,           0.0064705,            0.020272,             0.00928,             0.00928,             0.00928
                  10,            0.073928,           0.0085899,            0.021684,             0.46556,             0.62685,             0.54242,             0.23019,            0.051613,            0.006219,            0.018289,             0.00919,             0.00919,             0.00919
                  11,            0.072579,           0.0083538,            0.019985,             0.52938,             0.67733,             0.61625,             0.25613,            0.049592,           0.0060654,            0.016238,              0.0091,              0.0091,              0.0091
                  12,            0.071174,           0.0081264,            0.018699,             0.49521,             0.72669,             0.62637,             0.26557,            0.048407,           0.0060637,            0.014987,             0.00901,             0.00901,             0.00901
                  13,            0.070821,           0.0082282,            0.017963,             0.58975,             0.76181,             0.66773,              0.2858,            0.047668,           0.0057125,            0.013791,             0.00892,             0.00892,             0.00892
                  14,            0.069055,           0.0079225,            0.017201,             0.67148,             0.72705,             0.69097,             0.30303,            0.048572,           0.0057818,            0.012574,             0.00883,             0.00883,             0.00883
                  15,            0.069168,           0.0079189,            0.016541,              0.7167,             0.74082,             0.69522,             0.27986,            0.048559,             0.00556,            0.011914,             0.00874,             0.00874,             0.00874
                  16,            0.067167,           0.0077701,            0.015663,             0.74316,             0.76376,             0.74358,             0.32784,            0.047763,           0.0056261,            0.011106,             0.00865,             0.00865,             0.00865
                  17,            0.065826,             0.00765,            0.014826,             0.78909,             0.77292,             0.79205,             0.36867,            0.044673,           0.0055456,            0.010216,             0.00856,             0.00856,             0.00856
                  18,            0.065112,            0.007494,            0.014229,             0.83141,             0.77156,             0.81372,             0.38516,            0.044559,           0.0055067,            0.009259,             0.00847,             0.00847,             0.00847
                  19,            0.064836,           0.0075916,            0.013753,             0.89468,             0.78824,             0.85308,              0.3844,            0.046027,           0.0053988,           0.0080115,             0.00838,             0.00838,             0.00838
                  20,            0.065402,            0.007458,            0.012879,             0.90646,             0.80063,             0.86337,             0.40153,            0.043958,            0.005384,            0.007494,             0.00829,             0.00829,             0.00829
                  21,            0.064051,           0.0075742,            0.012409,             0.92388,             0.80793,             0.88032,             0.42561,             0.04302,           0.0052688,           0.0066807,              0.0082,              0.0082,              0.0082
                  22,            0.063668,           0.0074047,            0.011674,             0.93307,             0.83187,             0.89018,             0.39909,            0.044691,           0.0051866,           0.0059424,             0.00811,             0.00811,             0.00811
                  23,            0.062856,           0.0072883,            0.011091,             0.91671,             0.84271,             0.88967,             0.42137,            0.043004,           0.0053265,           0.0057258,             0.00802,             0.00802,             0.00802
                  24,            0.063042,           0.0075042,            0.010793,             0.91113,             0.84897,             0.89385,             0.43142,            0.042679,           0.0052742,           0.0051872,             0.00793,             0.00793,             0.00793
                  25,            0.060337,            0.007261,           0.0097063,             0.93466,             0.84499,             0.90382,             0.43642,            0.042134,           0.0052063,           0.0044972,             0.00784,             0.00784,             0.00784
                  26,            0.059468,            0.007177,           0.0093976,             0.92989,             0.86672,              0.9046,             0.44155,            0.041767,           0.0051739,           0.0042195,             0.00775,             0.00775,             0.00775
                  27,            0.058911,           0.0070628,           0.0089143,             0.93802,             0.84564,             0.89841,             0.43766,            0.041755,            0.005198,            0.004327,             0.00766,             0.00766,             0.00766
                  28,            0.059661,           0.0072999,            0.008972,             0.91766,             0.85341,             0.90251,             0.44161,            0.042349,           0.0051692,           0.0042303,             0.00757,             0.00757,             0.00757
                  29,             0.06084,           0.0072594,           0.0095744,             0.93769,             0.83502,             0.90238,             0.43625,            0.042585,              0.0052,            0.004015,             0.00748,             0.00748,             0.00748
                  30,             0.06121,           0.0073107,           0.0097253,             0.94659,             0.85929,             0.91139,             0.44243,            0.041389,           0.0051975,           0.0036567,             0.00739,             0.00739,             0.00739
                  31,            0.059747,           0.0071811,           0.0090986,             0.93875,             0.85322,             0.90692,             0.41646,            0.043914,            0.005238,           0.0036362,              0.0073,              0.0073,              0.0073
                  32,             0.05851,            0.007041,           0.0086438,             0.93768,             0.86758,             0.91876,             0.45921,            0.040631,           0.0049882,           0.0035275,             0.00721,             0.00721,             0.00721
                  33,            0.058012,            0.006934,            0.008446,             0.94227,             0.87263,             0.91295,             0.46391,            0.040349,             0.00498,           0.0035277,             0.00712,             0.00712,             0.00712
                  34,            0.058105,           0.0070439,           0.0085431,              0.9544,              0.8744,             0.92263,              0.4634,            0.040008,           0.0049204,           0.0033325,             0.00703,             0.00703,             0.00703
                  35,            0.058265,           0.0069238,           0.0083398,              0.9462,             0.88233,             0.92703,             0.46151,             0.03984,           0.0049843,           0.0033451,             0.00694,             0.00694,             0.00694
                  36,            0.056496,           0.0069553,           0.0077646,             0.96174,             0.88509,             0.93509,             0.48264,            0.038845,           0.0048773,           0.0030471,             0.00685,             0.00685,             0.00685
                  37,            0.056177,           0.0068648,           0.0076113,             0.95369,             0.88281,             0.93409,             0.47935,            0.039073,            0.004919,           0.0029994,             0.00676,             0.00676,             0.00676
                  38,            0.055084,           0.0067158,           0.0072958,             0.95961,             0.87491,             0.92628,             0.46371,            0.039878,           0.0049515,           0.0032079,             0.00667,             0.00667,             0.00667
                  39,            0.055709,           0.0070006,           0.0073362,             0.94975,              0.8943,               0.934,             0.47997,            0.039162,           0.0048862,           0.0027281,             0.00658,             0.00658,             0.00658
                  40,            0.055756,           0.0068794,           0.0074383,             0.95303,              0.8812,             0.92768,             0.47097,            0.039461,           0.0049041,           0.0029619,             0.00649,             0.00649,             0.00649
                  41,            0.053785,           0.0067612,           0.0067072,             0.96209,             0.89012,             0.93691,              0.4714,            0.039712,           0.0048301,           0.0027457,              0.0064,              0.0064,              0.0064
                  42,            0.052813,           0.0066632,           0.0065166,             0.96229,             0.88565,             0.93416,             0.48759,            0.038626,           0.0048404,           0.0027351,             0.00631,             0.00631,             0.00631
                  43,            0.052623,           0.0065566,           0.0061852,             0.95267,             0.88974,             0.93013,              0.4755,            0.038901,           0.0048692,            0.002884,             0.00622,             0.00622,             0.00622
                  44,            0.053153,           0.0068143,           0.0063776,             0.95136,             0.90199,             0.93476,             0.48766,             0.03844,           0.0047898,           0.0025101,             0.00613,             0.00613,             0.00613
                  45,            0.052862,           0.0066917,           0.0063414,             0.96136,             0.89015,             0.93633,             0.47131,             0.03915,           0.0048367,           0.0025337,             0.00604,             0.00604,             0.00604
                  46,             0.05589,           0.0069416,           0.0076517,             0.94755,             0.89866,             0.94021,             0.48651,            0.038165,           0.0047855,           0.0023242,             0.00595,             0.00595,             0.00595
                  47,            0.054659,           0.0068001,           0.0071657,             0.95547,             0.89091,             0.93794,             0.47963,            0.038893,           0.0048278,           0.0027891,             0.00586,             0.00586,             0.00586
                  48,             0.05387,           0.0066947,           0.0069818,             0.94122,             0.89663,             0.93331,             0.48771,            0.038284,           0.0047868,            0.002845,             0.00577,             0.00577,             0.00577
                  49,            0.053256,           0.0066122,           0.0067895,             0.95179,             0.89919,             0.93129,             0.48481,            0.038314,           0.0048308,           0.0026186,             0.00568,             0.00568,             0.00568
                  50,            0.053606,           0.0067081,           0.0069742,             0.95607,             0.88981,              0.9359,             0.48813,            0.037719,           0.0047554,           0.0027244,             0.00559,             0.00559,             0.00559
                  51,            0.053673,           0.0065952,           0.0068276,             0.94848,             0.91324,              0.9442,             0.49923,            0.037181,           0.0046744,            0.002667,              0.0055,              0.0055,              0.0055
                  52,            0.051742,           0.0065754,           0.0059595,             0.95735,             0.91488,             0.95013,             0.50408,            0.037017,           0.0046232,           0.0023857,             0.00541,             0.00541,             0.00541
                  53,            0.050907,           0.0064745,           0.0058099,             0.95961,             0.90452,             0.94051,             0.49947,            0.037217,           0.0047004,           0.0024277,             0.00532,             0.00532,             0.00532
                  54,            0.050081,           0.0063496,           0.0054724,             0.95938,             0.90362,             0.94055,             0.49721,            0.037246,           0.0047093,           0.0026795,             0.00523,             0.00523,             0.00523
                  55,            0.050455,           0.0066003,             0.00559,             0.96653,             0.90389,              0.9428,             0.50396,            0.036864,           0.0046693,           0.0025318,             0.00514,             0.00514,             0.00514
                  56,            0.050081,           0.0064397,           0.0055709,             0.95328,             0.90735,             0.94079,             0.49616,            0.036986,           0.0046996,           0.0025244,             0.00505,             0.00505,             0.00505
                  57,            0.052208,           0.0066097,           0.0062972,             0.96419,             0.90513,             0.94388,             0.50352,            0.036882,           0.0047074,           0.0024591,             0.00496,             0.00496,             0.00496
                  58,            0.051003,           0.0065569,           0.0059874,             0.96508,             0.91034,             0.94872,             0.50637,             0.03672,           0.0046576,           0.0022203,             0.00487,             0.00487,             0.00487
                  59,            0.050338,           0.0064382,            0.005841,             0.95807,             0.90922,              0.9405,             0.51089,            0.036515,           0.0046203,           0.0024709,             0.00478,             0.00478,             0.00478
                  60,            0.049947,           0.0063475,            0.005729,             0.95731,             0.90816,             0.94712,              0.5116,            0.036436,            0.004634,           0.0022008,             0.00469,             0.00469,             0.00469
                  61,            0.049941,           0.0064475,           0.0057404,              0.9669,             0.91214,             0.94582,             0.51113,            0.036106,            0.004564,           0.0021276,              0.0046,              0.0046,              0.0046
                  62,            0.050322,            0.006344,            0.005694,             0.95563,             0.91421,             0.95063,             0.50967,            0.036288,           0.0045975,              0.0024,             0.00451,             0.00451,             0.00451
                  63,             0.04835,           0.0063267,           0.0050283,              0.9524,             0.92176,             0.95113,             0.50956,            0.036474,           0.0045902,           0.0023045,             0.00442,             0.00442,             0.00442
                  64,            0.048135,           0.0062613,           0.0049972,             0.96466,             0.91733,             0.95096,             0.52408,            0.035949,           0.0045704,           0.0022258,             0.00433,             0.00433,             0.00433
                  65,            0.047341,           0.0061724,           0.0046995,             0.96211,             0.91803,             0.94994,             0.52073,             0.03581,           0.0045691,           0.0023246,             0.00424,             0.00424,             0.00424
                  66,            0.046323,           0.0061613,           0.0042793,             0.96443,             0.90703,              0.9515,             0.51344,            0.036054,           0.0046218,           0.0021206,             0.00415,             0.00415,             0.00415
                  67,            0.043979,           0.0059405,           0.0034248,             0.96721,             0.90461,             0.94748,             0.51256,            0.036209,           0.0046606,           0.0022788,             0.00406,             0.00406,             0.00406
                  68,            0.045529,           0.0060455,           0.0040888,             0.96831,             0.91841,             0.95335,             0.52323,            0.035621,           0.0045941,           0.0019762,             0.00397,             0.00397,             0.00397
                  69,            0.044894,           0.0059715,           0.0039194,             0.95559,             0.92028,             0.94888,              0.5155,            0.036021,           0.0045781,           0.0024605,             0.00388,             0.00388,             0.00388
                  70,            0.047899,           0.0063824,           0.0048983,             0.96194,             0.91278,             0.95146,             0.52465,            0.035541,           0.0045732,           0.0022805,             0.00379,             0.00379,             0.00379
                  71,            0.047153,            0.006215,           0.0048229,             0.95136,              0.9122,             0.94563,             0.51567,            0.035921,           0.0045733,           0.0024416,              0.0037,              0.0037,              0.0037
                  72,            0.049389,           0.0063971,           0.0053599,             0.96551,             0.91558,             0.95267,             0.51839,            0.035726,            0.004539,           0.0021001,             0.00361,             0.00361,             0.00361
                  73,            0.047801,           0.0062844,           0.0050879,             0.96332,             0.91713,             0.95291,             0.52203,            0.035445,           0.0045471,           0.0022015,             0.00352,             0.00352,             0.00352
                  74,            0.047285,           0.0061754,           0.0048724,               0.955,             0.92745,             0.95202,              0.5208,            0.035705,           0.0044548,           0.0022444,             0.00343,             0.00343,             0.00343
                  75,            0.047134,           0.0061123,           0.0047803,             0.96758,             0.92455,              0.9551,             0.52153,             0.03557,            0.004531,           0.0021033,             0.00334,             0.00334,             0.00334
                  76,            0.046877,           0.0061847,             0.00488,             0.96649,             0.91922,              0.9503,             0.52606,            0.035346,           0.0044773,           0.0025268,             0.00325,             0.00325,             0.00325
                  77,            0.047177,           0.0061182,           0.0048422,             0.96837,             0.91349,              0.9549,              0.5258,            0.035236,           0.0044633,           0.0024646,             0.00316,             0.00316,             0.00316
                  78,            0.043366,           0.0059565,           0.0035679,             0.96177,             0.91445,             0.95063,             0.52361,              0.0355,           0.0045112,           0.0023157,             0.00307,             0.00307,             0.00307
                  79,            0.043372,           0.0059024,           0.0035787,             0.96466,             0.92325,             0.95519,             0.53207,            0.035185,           0.0044957,            0.001921,             0.00298,             0.00298,             0.00298
                  80,            0.040626,           0.0057195,           0.0028697,             0.96179,             0.91432,             0.95013,             0.52994,            0.035117,           0.0045406,           0.0023566,             0.00289,             0.00289,             0.00289
                  81,            0.040739,           0.0056695,           0.0029099,             0.95586,              0.9126,             0.94744,             0.52447,            0.035309,           0.0045864,           0.0024982,              0.0028,              0.0028,              0.0028
                  82,            0.043045,           0.0058232,           0.0035129,             0.95853,             0.91245,                0.95,              0.5228,            0.035355,           0.0045504,           0.0026166,             0.00271,             0.00271,             0.00271
                  83,            0.045042,           0.0061577,           0.0039606,             0.96511,             0.92427,             0.95481,             0.53003,            0.035051,           0.0044864,           0.0022131,             0.00262,             0.00262,             0.00262
                  84,             0.04429,           0.0059728,           0.0039274,             0.96065,             0.92377,             0.95657,             0.53105,            0.034966,           0.0044779,           0.0023523,             0.00253,             0.00253,             0.00253
                  85,            0.045995,           0.0061184,           0.0044558,             0.96031,             0.91825,             0.95538,             0.53463,            0.034842,           0.0044834,           0.0021544,             0.00244,             0.00244,             0.00244
                  86,            0.044741,           0.0060187,           0.0041307,             0.97006,             0.92219,             0.95557,             0.53667,             0.03467,           0.0044681,           0.0022064,             0.00235,             0.00235,             0.00235
                  87,             0.04442,            0.005925,           0.0040947,             0.96948,             0.92338,             0.95393,              0.5337,            0.034782,           0.0044441,            0.002063,             0.00226,             0.00226,             0.00226
                  88,             0.04405,           0.0058741,           0.0038981,             0.97499,             0.92137,             0.95729,             0.53695,            0.034621,           0.0044344,           0.0020687,             0.00217,             0.00217,             0.00217
                  89,            0.043919,            0.005951,           0.0040899,             0.96137,             0.92784,             0.95617,             0.53606,            0.034646,           0.0044162,           0.0020007,             0.00208,             0.00208,             0.00208
                  90,            0.044172,           0.0058908,           0.0040268,             0.96892,             0.92266,             0.95248,             0.53205,            0.034579,           0.0044431,           0.0022193,             0.00199,             0.00199,             0.00199
                  91,            0.039584,           0.0056737,           0.0026859,             0.96807,             0.92039,             0.95416,              0.5359,            0.034853,           0.0045061,           0.0023301,              0.0019,              0.0019,              0.0019
                  92,            0.039409,           0.0055831,           0.0026395,             0.96359,             0.91767,             0.95199,             0.53587,            0.034936,           0.0044959,           0.0023634,             0.00181,             0.00181,             0.00181
                  93,            0.040602,           0.0056066,           0.0028475,             0.96741,             0.91661,             0.95256,             0.53494,            0.034836,           0.0044779,           0.0025047,             0.00172,             0.00172,             0.00172
                  94,            0.042272,           0.0059238,           0.0032656,             0.96895,             0.92337,              0.9532,             0.53851,            0.034486,           0.0044693,            0.002221,             0.00163,             0.00163,             0.00163
                  95,            0.041483,           0.0057234,           0.0031316,             0.96706,             0.92095,             0.95588,             0.54238,            0.034414,           0.0044592,           0.0023013,             0.00154,             0.00154,             0.00154
                  96,            0.037585,           0.0054673,           0.0023274,             0.96672,             0.91935,             0.95169,             0.54218,            0.034545,           0.0045038,            0.002236,             0.00145,             0.00145,             0.00145
                  97,            0.037188,           0.0053933,           0.0021922,              0.9616,             0.92745,             0.95063,              0.5376,            0.034674,           0.0044973,           0.0022161,             0.00136,             0.00136,             0.00136
                  98,            0.038179,           0.0054051,            0.002344,             0.96505,             0.91948,             0.95115,             0.53839,             0.03479,             0.00448,           0.0023019,             0.00127,             0.00127,             0.00127
                  99,            0.039765,           0.0057204,            0.002635,             0.95471,             0.93009,             0.95215,             0.53956,            0.034551,             0.00449,           0.0022304,             0.00118,             0.00118,             0.00118
