               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12916,           0.0091519,            0.031834,                   0,                   0,                   0,                   0,             0.11387,            0.009555,            0.031201,            0.070288,           0.0033013,           0.0033013
                   1,              0.1227,            0.010009,            0.030931,                   0,                   0,                   0,                   0,             0.11067,            0.010048,            0.030737,            0.040229,           0.0065749,           0.0065749
                   2,             0.11938,            0.010353,            0.030383,                   0,                   0,                   0,                   0,             0.10656,            0.010463,            0.030234,            0.010109,           0.0097885,           0.0097885
                   3,             0.10953,            0.011726,            0.030077,            0.075794,            0.079165,            0.067386,            0.020377,             0.08105,            0.011742,            0.030208,             0.00973,             0.00973,             0.00973
                   4,            0.092905,            0.011226,            0.029267,             0.14276,              0.2322,             0.13871,            0.051289,             0.06615,            0.010001,            0.027749,             0.00973,             0.00973,             0.00973
                   5,            0.085679,            0.010159,            0.027581,             0.16453,             0.43192,             0.26239,            0.098154,            0.061087,           0.0084701,            0.025594,             0.00964,             0.00964,             0.00964
                   6,            0.080333,           0.0095226,            0.026257,             0.19726,             0.52582,             0.31563,             0.12244,            0.058592,           0.0082934,            0.024386,             0.00955,             0.00955,             0.00955
                   7,            0.076964,           0.0090992,            0.025035,              0.3226,             0.48999,             0.42125,             0.16843,            0.053711,           0.0069549,            0.022731,             0.00946,             0.00946,             0.00946
                   8,            0.074609,           0.0087526,            0.023721,             0.44721,             0.48899,             0.50418,             0.21719,            0.052876,            0.007488,            0.020882,             0.00937,             0.00937,             0.00937
                   9,            0.073856,           0.0086211,            0.022343,             0.50661,             0.63269,             0.57974,             0.24984,            0.050269,           0.0064156,            0.018369,             0.00928,             0.00928,             0.00928
                  10,            0.072392,           0.0084743,            0.020459,             0.51221,             0.70328,             0.59479,             0.25582,            0.050181,           0.0062748,            0.016511,             0.00919,             0.00919,             0.00919
                  11,            0.071132,           0.0082605,            0.019075,             0.52431,             0.72866,             0.63201,             0.26779,            0.049675,           0.0061031,            0.015025,              0.0091,              0.0091,              0.0091
                  12,            0.069907,            0.008073,            0.017978,             0.57271,             0.75573,             0.65131,             0.28397,            0.048118,           0.0058414,            0.013694,             0.00901,             0.00901,             0.00901
                  13,            0.069427,           0.0081857,            0.017298,             0.67661,             0.74877,             0.69437,             0.29137,            0.048098,           0.0057837,             0.01271,             0.00892,             0.00892,             0.00892
                  14,            0.067282,           0.0078537,             0.01652,             0.72704,             0.72296,              0.7196,             0.32599,            0.046845,           0.0058351,            0.011593,             0.00883,             0.00883,             0.00883
                  15,            0.067852,           0.0079105,            0.015827,             0.77749,             0.76048,             0.75574,             0.31522,             0.04714,            0.005567,            0.010537,             0.00874,             0.00874,             0.00874
                  16,            0.066166,           0.0077455,            0.014878,             0.80323,             0.74306,             0.79022,             0.35147,             0.04603,            0.005709,           0.0098007,             0.00865,             0.00865,             0.00865
                  17,             0.06468,           0.0076197,            0.013966,             0.84523,             0.76001,             0.81751,             0.38298,            0.045411,           0.0054977,            0.008711,             0.00856,             0.00856,             0.00856
                  18,            0.063671,           0.0074687,            0.013286,             0.88578,             0.77655,             0.84419,             0.39429,             0.04383,           0.0056252,           0.0080651,             0.00847,             0.00847,             0.00847
                  19,            0.063593,           0.0075597,             0.01278,             0.89901,             0.80723,             0.86587,              0.3942,            0.044909,           0.0054149,           0.0069694,             0.00838,             0.00838,             0.00838
                  20,            0.062814,           0.0074497,            0.011998,             0.90609,             0.81272,             0.86764,             0.40581,            0.044343,           0.0054935,           0.0067008,             0.00829,             0.00829,             0.00829
