               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12661,            0.015653,            0.031662,                   0,                   0,                   0,                   0,             0.10663,            0.017056,            0.025786,            0.070288,           0.0033013,           0.0033013
                   1,             0.11154,            0.017028,            0.028905,           0.0046509,             0.34993,            0.017319,           0.0044444,            0.086469,            0.021266,            0.023855,            0.040229,           0.0065749,           0.0065749
                   2,            0.089731,            0.017976,            0.026836,             0.28693,             0.13673,            0.048973,            0.013706,            0.072661,            0.019598,            0.020747,            0.010109,           0.0097885,           0.0097885
                   3,            0.083607,            0.017223,            0.024751,             0.21295,             0.30745,             0.16608,             0.05729,            0.066042,             0.01716,            0.019729,             0.00973,             0.00973,             0.00973
                   4,            0.079428,            0.016266,            0.023373,             0.29027,             0.35701,             0.25174,            0.085718,            0.062929,            0.016262,            0.018132,             0.00973,             0.00973,             0.00973
                   5,            0.075613,            0.015562,            0.021383,             0.37668,             0.37737,             0.33347,             0.11903,            0.057099,            0.015227,            0.016359,             0.00964,             0.00964,             0.00964
                   6,            0.071699,            0.015269,            0.019872,             0.47843,             0.46377,             0.43086,             0.15215,            0.053553,            0.016297,            0.015493,             0.00955,             0.00955,             0.00955
                   7,            0.071607,            0.015164,            0.020038,             0.44618,             0.45738,             0.39598,              0.1512,            0.052726,            0.015302,            0.014337,             0.00946,             0.00946,             0.00946
                   8,            0.068321,            0.014478,            0.018519,               0.572,             0.50431,             0.48974,             0.18942,            0.051359,            0.014046,            0.013263,             0.00937,             0.00937,             0.00937
                   9,            0.066521,            0.014494,            0.017461,             0.55934,             0.52207,             0.50493,             0.18924,            0.050645,            0.014544,            0.012662,             0.00928,             0.00928,             0.00928
                  10,            0.068033,            0.014284,            0.017525,             0.55937,             0.57497,             0.55165,             0.21748,            0.048457,            0.013465,            0.011772,             0.00919,             0.00919,             0.00919
                  11,            0.061661,            0.013798,            0.016237,             0.63164,             0.63439,             0.62625,             0.25486,            0.046562,             0.01243,            0.010741,              0.0091,              0.0091,              0.0091
                  12,            0.061654,            0.013301,            0.015209,             0.67004,              0.6181,             0.63727,             0.25572,            0.048023,            0.012361,           0.0097235,             0.00901,             0.00901,             0.00901
                  13,            0.062606,            0.013595,            0.015176,             0.59207,             0.54356,             0.54909,             0.21555,            0.046901,            0.013954,            0.010473,             0.00892,             0.00892,             0.00892
                  14,            0.060657,            0.013767,            0.014434,             0.71784,             0.64057,             0.67405,             0.28204,            0.044878,            0.012024,           0.0081402,             0.00883,             0.00883,             0.00883
                  15,            0.061034,            0.013508,            0.014469,              0.7471,             0.64992,              0.6915,              0.2901,            0.043015,              0.0124,           0.0082956,             0.00874,             0.00874,             0.00874
                  16,            0.060233,            0.013285,             0.01389,             0.78867,              0.6644,             0.70366,             0.30452,            0.048386,            0.011855,           0.0079466,             0.00865,             0.00865,             0.00865
                  17,            0.057708,            0.013165,            0.012628,              0.8135,             0.67509,             0.74249,             0.31188,            0.043112,            0.011829,            0.006875,             0.00856,             0.00856,             0.00856
                  18,            0.058664,            0.013085,            0.013042,             0.81389,             0.69033,             0.74592,             0.31889,            0.041022,            0.011766,           0.0064693,             0.00847,             0.00847,             0.00847
                  19,            0.056326,            0.012706,            0.011851,             0.80716,              0.6895,             0.74421,             0.29674,            0.045382,            0.010992,           0.0061042,             0.00838,             0.00838,             0.00838
                  20,            0.056094,            0.012458,            0.011344,             0.84971,             0.71479,             0.78535,             0.35312,            0.041341,            0.011541,           0.0057908,             0.00829,             0.00829,             0.00829
                  21,            0.055107,            0.012421,            0.011102,             0.85926,             0.73127,             0.79694,             0.35793,            0.039605,            0.011336,           0.0056368,              0.0082,              0.0082,              0.0082
                  22,            0.053774,             0.01278,            0.010646,             0.89624,              0.7311,              0.8075,             0.36358,            0.039062,            0.011088,           0.0047793,             0.00811,             0.00811,             0.00811
                  23,            0.054301,            0.012481,            0.010892,             0.88681,             0.76446,             0.81986,             0.35258,            0.041793,            0.011289,           0.0044119,             0.00802,             0.00802,             0.00802
                  24,            0.053412,            0.012306,           0.0098634,             0.88088,             0.75797,             0.81138,             0.36274,            0.040663,            0.011336,           0.0045617,             0.00793,             0.00793,             0.00793
                  25,            0.052048,            0.012493,           0.0094504,             0.87438,             0.75554,             0.82148,             0.35933,             0.03854,            0.011058,           0.0049054,             0.00784,             0.00784,             0.00784
                  26,            0.053223,            0.012464,            0.010072,             0.88394,             0.77321,             0.82605,             0.37897,            0.037288,            0.010707,           0.0043459,             0.00775,             0.00775,             0.00775
                  27,            0.053918,            0.012007,           0.0095373,             0.91229,             0.77161,             0.83796,             0.38085,            0.037962,            0.010518,           0.0039135,             0.00766,             0.00766,             0.00766
                  28,            0.053681,            0.012298,           0.0099277,             0.91154,             0.77747,             0.83856,             0.38155,            0.038786,            0.010761,           0.0041769,             0.00757,             0.00757,             0.00757
                  29,            0.051816,            0.012214,           0.0093288,             0.92391,             0.78929,             0.84619,             0.36889,            0.037771,            0.010343,           0.0037039,             0.00748,             0.00748,             0.00748
                  30,            0.050773,            0.011734,            0.008695,             0.92552,             0.79132,             0.85823,             0.40419,            0.037706,            0.010628,           0.0037657,             0.00739,             0.00739,             0.00739
                  31,            0.050082,            0.011702,            0.008688,             0.92057,             0.79728,             0.85823,             0.40927,            0.037956,            0.010446,           0.0035878,              0.0073,              0.0073,              0.0073
                  32,            0.049836,            0.012104,           0.0083758,             0.92829,              0.8131,             0.86737,             0.41174,            0.034888,             0.01012,           0.0032516,             0.00721,             0.00721,             0.00721
                  33,            0.049415,            0.011778,           0.0085663,             0.92657,             0.80256,             0.86332,             0.41357,            0.035903,             0.01033,           0.0033918,             0.00712,             0.00712,             0.00712
                  34,             0.04886,            0.011675,           0.0079622,             0.92303,             0.81011,             0.86626,             0.41422,            0.038581,            0.010329,           0.0034623,             0.00703,             0.00703,             0.00703
                  35,            0.047526,            0.011575,           0.0075016,             0.92819,             0.82214,             0.87756,             0.43016,            0.036425,           0.0099945,           0.0034508,             0.00694,             0.00694,             0.00694
                  36,            0.047971,            0.011649,           0.0078192,             0.92871,              0.8232,             0.87923,             0.43313,            0.033517,            0.010169,           0.0031377,             0.00685,             0.00685,             0.00685
                  37,            0.049171,             0.01133,           0.0076426,             0.94171,             0.82276,             0.87976,             0.41698,            0.036037,           0.0099171,           0.0030877,             0.00676,             0.00676,             0.00676
